id,abstract ,lable
101_1,diseas manual curat databas aim provid comprehens resourc microrna deregul variou human diseas current version imirdiseasei document curat relationship human microrna human diseas review publish around oneseventh relationship repres pathogen role deregul microrna human diseas entri imirdiseasei contain detail inform relationship includ microrna id diseas name brief descript relationship express pattern microrna detect method microrna express experiment verifi target gene microrna literatur refer imirdiseasei provid userfriendli interfac conveni retriev ,big data
101_2,three class carbid nitrid oxid nano scale earli transit metal catalyst propos replac expens pt catalyst counter electrod ce dyesensit solar cell dsc catalyst crsubsubcsubsub crn vcn vn tic ticn tin vsubsubosubsub show excel catalyt activ reduct electrolyt vc embed mesopor carbon prepar situ synthesi dsc base ce reach high power convers effici pce compar photovolta perform dsc pt ce addit carbid catalyst demonstr catalyt activ higher pt regener organ redox dsc tic ce show pce much higher dsc pt ce ,big data
101_3,differ content fabric combin solvotherm chemi orption method character xray powder diffract scan electron microscopi transmiss electron microscopi diffus reflect spectroscopi photocatalyt hydrogenproduct activ sampl evalu nasubsub nasubsubsosubsub sacrifici reagent water visiblelight illumin λ nm result show spontan adsorpt process gcsubsubnsubsub success coat cd nanowir intim contact significantli improv photocatalyt hydrogenproduct rate cd nanowir reach optim valu μmol gcsubsubnsubsub content wt importantli gcsubsubnsubsub coat substanti reinforc photost cd nanowir even nonsacrifici ,big data
101_4,featur weight assign regard gener featur select valu featur weight either featur weight assign degener special case featur select gener speak number assign featur indic import featur show appropri assign featureweight improv perform fuzzi icimean cluster weight assign given learn accord gradient descent techniqu experi uci databas demonstr improv perform fuzzi icimean cluster ,big data
101_5,ensembl averag measur colloid hotspot enabl synthesi highli uniform dimer trimer au ag nanoparticl quantif rel concentr nanoclust ,big data
101_6,estradiol e regul gene express transcript level function ligand estrogen receptor alpha erα estrogen receptor beta erβ einduc protein cmyc ef requir optim erα activ secondari estrogen respons respect show e induc microrna repress seven microrna mcf breast cancer cell microrna potenti control eregul noneregul mrna posttranscript level serinethreonin kina akt alter eregul express microrna e induc express eight let famili member mir mir microrna microrna reduc level cmyc ef protein dicer ribonucleas iii enzym requir microrna process also einduc gene sever eregul microrna gene associ ,big data
101_7,layout experi imag high space time granular atmospher shower describ detector assembl provid digit analog inform order cover wide particl densiti rang time accuraci n experiment result obtain oper chamber streamer mode sea level standard ga mixtur present ,big data
101_8,effect method develop separ goldnanoparticl cluster high resolut dimer trimer sampl obtain puriti respect ,big data
101_9,anti age gene genet mutat klotho caus multipl prematur aginglik phenotyp strikingli shorten lifespan overexpress klotho gene mous suppress age extend lifespan may involv mechan suppress insulin signal oxid stress klotho function cofactorcoreceptor regul fibroblast growth factor fgf signal klotho act glucuronidas activ ion channel trpv klotho protect endotheli dysfunct regul product nitric oxid klotho also influenc intracellular signal pathway includ pp camp protein kina c pkc wnt signal pathway discoveri klotho great impact age research provid recent progress futur direct klotho research specif cover klotho age ,big data
101_11,alcohol exposur develop caus variabl neurofaci deficit growth retard known fetal alcohol spectrum disord fasd mechan underli fasd fulli understood howev alcohol known affect methyl donor metabol may induc aberr epigenet chang contribut fasd tightli control wholeembryo cultur investig effect alcohol exposur mm earli embryon neurul genomewid dna methyl gene express cbl mous dna methyl landscap around promot cpg island earli mous develop analyz medip methyl dna immunoprecipit coupl microarray medipchip earli neurul gene associ high cpg promot hcp lower ratio methyl greater ratio express alcoholinduc alter ,big data
101_12,atom composit molar extinct coeffici semiconductor nano crystal determin atom absorpt spectrometri spectrophotometri transmiss electron microscopi pbse atom ratio found sizedepend systemat excess pb atom pbse nanocryst system experiment result indic inidu pbse nanocryst nonstoichiometr consist pbse core extra layer pb atom nonstoichiometr pbse semiconductor nanocryst propos comput approach calcul total number pb se atom differ size particl calcul play key role accur determin strongli sizedepend extinct coeffici follow power law expon ,big data
101_13,recent discov anti age gene object test hypothesi klotho gene deliveri attenu progress spontan hypertens renal damag spontan hypertens rat shr adenoassoci viru aav carri mous klotho fulllength cdna construct vivo express klotho four group male shr group sex agematch wistarkyoto rat rat per group use blood pressur measur twice anim gene deliveri four group shr receiv iv inject pb respect wistarkyoto group receiv pb serv control stop increas blood pressur shr wherea blood pressur continu increas shr group one singl dose prevent ,big data
101_14,studi effect surfac enhanc raman scatter ser hotspot enorm raman enhanc analyt therein le known effect though format hotspot may caus trap analyt chang molecular orient turn lead pronounc chang ser fingerprint demonstr effect creat character hotspot colloid solut anisotrop function au nanorod synthes wherebi side specif encapsul polystyreneiblockipolyacryl acid leav end unencapsul function ser analyt mercaptobenzo acid upon salt treatment nanorod assembl linear chain form hotspot incorpor ser analyt enorm ser enhanc observ particularli weakinact ser mode ,big data
101_15,identif diseas relat microrna vital understand pathogenesi diseas molecular level critic design specif molecular tool diagnosi treatment prevent experiment identif diseaserel microrna pose consider difficulti comput analysi micrornadiseas associ import complementari mean priorit microrna experiment examin herein devi comput model infer potenti micrornadiseas associ priorit entir human micrornaom diseas interest test model known experiment verifi micrornadiseas associ achiev area roc curv moreov demonstr model applic diseas known microrna associ micrornaomewid priorit microrna diseas phenotyp publicli releas facilit futur identif diseaserel microrna present networkbas approach infer potenti micrornadiseas associ drive testabl hypothesi experiment effort identifi role microrna human diseas ,big data
101_16,area locat ore belt china consist beiya gold orefield relat alkalin porphyri emeishan volcan mafic rock seri sedimentari rock thirtynin element stream sediment sampl taken geochem survey heqe area classifi four group princip compon analysi two fractal model model model appli determin threshold repres element four group threshold obtain two model similar accord threshold element concentr distribut ide segment mainli correl one type rock includ alkalin porphyri relat goldminer rock mafic rock sedimentari rock reveal variou geolog event ,big data
101_17,major broadli neutral antibodi hepat hcv conform epitop e glycoprotein mani recogn overlap epitop cluster design antigen domain b contain residu g gain inform region relev vaccin design employ yeast surfac display antibodi bound genotyp hc e mutant protein contain substitut either ya avoid select nonneutr antibodi da panel nine human monoclon antibodi hmab isol design hcrelat antibodi hmab neutral cell cultur infecti hcv hcvcc genotyp envelop protein vari profil inhibit e bind viral receptor cd five antibodi neutral repres genotyp hcvcc epitop map identifi cluster overlap epitop includ nine contact residu two e region encompass effect viru entri measur hc hcv retrovir pseudoparticl hcvpp bear alanin substitut contact residu seven ten mutant hcvpp show reduct compar wildtyp hcvpp two other show approxim reduct interestingli four antibodi bound linear e synthet peptid encompass region e propos elicit nonneutr antibodi human interfer neutral antibodi direct adjac e region isol ,big data
101_18,gastric band oper sleev gastrectomi increasingli popular bariatr surgeri weight loss investig chang plasma ghrelin level hypothalam ghrelin receptor express weight loss achiev surgeri twentyfour high fat dietinduc obes rat use investig effect gastric band sleev oper bodi mass index fat mass plasma ghrelin level hypothalam growth hormon secretagogu receptor ghsr protein express hypothalamu comparison data patient receiv laparoscop adjust gastric band lagb laparoscop sleev gastrectomi lsg hospit also summar bodi weight fat mass decreas ,big data
101_19,smart self heal coat corros protect metal substrat steel magnesium aluminium alloy attract tremend interest due capabl prevent crack propag protect coat releas activ agent micronanocapsul micronano particl consist coat layer shell micronanocontain core materi solid droplet liquid ga control manner aim give concis recent advanc prepar micronanocapsul base differ type micronanocontain organ polym coat inorgan clay mesopor silica nanoparticl polyelectrolyt multilay etc smart coat selfheal properti stateoftheart design prepar micronanocapsul highlight detail exampl ,big data
101_20,synthes niobium oxid nbo nbo appli first time counter electrod ce dyesensit solar cell dsc dsc nbo ce show higher power convers effici compar dsc pt ce ,big data
101_21,systemat shape control synthesi inorgan nano crystal attract increas attent recent fundament technolog interest shape evolut cdse nanocryst wurtzit structur unifi method previous well studi shape evolut cdse nanocryst zinc blend structur still remain challeng demonstr systemat shape variat zinc blend cdse nanocryst modifi organometal approach distinct shape cubeshap sphereshap tetrahedronshap branch cdse nanocryst high yield good uniform obtain crucial factor influenc shapecontrol process reactiv temperatur wide variat shape provid import inform growth cdse nanocryst also help shapecontrol synthesi ,big data
101_22,copi number variat cnv found play import role human diseas sequenc technolog includ sequenc wg sequenc we becom primari strategi studi genet basi human diseas sever cnv call tool recent develop basi we data howev compar perform tool real data remain unclear object evalu tool practic research situat would benefici evalu four cnv detect tool xhmm conif exomedepth contra real data gener hous evalu six metric found sensit accur detect cnv we data remain challeng despit mani algorithm avail algorithm ,big data
101_23,current applic micro array focu precis classif discoveri biolog type exampl tumor versu normal phenotyp cancer research sever challeng scientif epoch like hunt gene underli complex diseas gene express profil therebi build correspond gene network larg overlook lack effici analysi approach thu develop innov ensembl decis approach effici perform multipl gene mine applic approach analyz two publicli avail data set colon data leukemia data identifi highli signific colon cancer gene highli signific molecular signatur refin acut leukemia phenotyp verifi either biolog experi altern ,big data
101_24,sophist helic structur attract subject due signific understand biolog selfassembl appeal applic nanosci facil rout toward onedimension helic nanostructur present base metalchol supramolecular selfassembl welldefin righthand helic nanoribbon calciumchol system systemat investig seri metal ion exploit drive metalchol supramolecular helix anticip incorpor metal ion may endow versatil function merit selfassembl nanohelic particularli helic inorgan nanomateri siosubsub zn prepar base metalchol supramolecular nanohelix via two distinct templat strategi ,big data
102_2,reson two photon atla experi cern larg hadron collid describ analysi base protonproton collis data correspond integr luminos tev record two search perform one target spin particl mass larger gev randallsundrum graviton state benchmark model one optim spin particl mass larger gev vari mass decay width signific deviat backgroundonli hypothesi observ diphoton invari mass around gev local signific standard deviat search optim spin spin particl respect global signific estim standard deviat analysi consist ,big data
102_3,sen technolog wide investig util ga detect due differ applic inher limit differ ga sen technolog research work differ scenario enhanc ga sensor calibr descript evalu comparison recent develop exist ga sen technolog classif sen technolog given base variat electr properti detail introduct sen method base electr variat discus classif accord sen materi includ metal oxid semiconductor polym carbon nanotub moistur absorb materi method base kind variat optic calorimetr acoust gaschromatograph present gener way sever suggest relat futur develop also discus furthermor focu sensit select perform indic compar differ sen technolog analyz factor influenc two indic list sever correspond improv approach ,big data
102_4,prolifer cyber physic system introduc fourth stage industri commonli known industri vertic integr variou compon insid factori implement flexibl reconfigur manufactur system ie smart factori one key featur industri smart factori framework incorpor industri network cloud supervisori control termin smart shopfloor object machin convey product provid classif smart object variou type agent defin coordin cloud autonom decis distribut cooper agent lead high flexibl moreov kind selforgan system leverag feedback coordin central coordin order achiev high effici thu smart factori character self ,big data
